disease,hosts,second,vectors,total,level,add geog,correct_region,combine,comment,good?,countries,no.countries,group,group2,disease,all_host,host_type,secondary,secondary_type,all_vectors,vector_type,Type,host_type,human_to_human
alkhurma,2,NA,NA,2,3,,,1,,1,SA,2,flavivirus,flavivirus,Tick-borne Encephalitis,"sheep,camelus",domestic,NA,NA,ornithodoros savignyi,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
allpahuayo,3,NA,NA,3,3,,,2,,1,PE,2,arenavirus,arenavirus,None reported,oecomys,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
amur,1,NA,NA,1,1,RU,,3,,1,"CN,KR,KP",8,hantavirus,hantavirus,Hantavirus hemorrhagic fever with renal syndrome (HFRS),apodemus peninsulae,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
anajatuba,1,NA,NA,1,0,,,4,,0,BR,2,hantavirus,hantavirus,HCPS,oligoryzomys fornesi,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
anaplasma phagocytophilum,14,NA,9,23,0,,,5,,1,"CA,US,ES,IT,DE,AT,CY,CZ,PL,BG,FI,NO,SE,CN",41,bacteria,bacteria,Ehrlichioses,"alces alces,apodemus agrarius,apodemus sylvaticus,capreolus capreolus,cervus elaphus,myodes glareolus,odocoileus virginianus,peromyscus leucopus,procyon lotor,sciurus carolinensis,sciurus griseus,sorex araneus,sylvilagus floridanus,tamias striatus",mammalia,NA,NA,"ixodes pacificus,amblyomma americanum,amblyomma maculatum,amblyomma testudinarium,haemaphysalis longicornis,haemaphysalis yeni,haemaphysalis yeni ,ixodes ricinus,dermacentor variabilis,ixodes pacificus,amblyomma americanum,rhipicephalus sanguineus",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
andes,1,NA,NA,1,3,,,6,,1,"CL,AR",8,hantavirus,hantavirus,Hantavirus Cardiopulmonary Syndrome,oligoryzomys longicaudatus,mammalia,NA,NA,NA,NA,HOST->HUMAN->HUMAN,HOST->HUMAN,yes
oran,1,NA,NA,1,2,,,6,,0,AR,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,oligoryzomys longicaudatus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
angiostrongylus cantonensis,2,NA,2,4,1,,,7,,1,"US,EC,BR,TO,AS,PF,CU,DO,JM,CI,EG,IN,CN,TH,VN,TW,AU,PG,JP,ID,MY,NC",65,parasite,angiostrongylus,Eosinophilic meningitis,"bandicota,varanus",mammalia,NA,NA,"achatina fulica,pomacea canaliculata",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
angiostrongylus costaricensis ,2,NA,1,3,2,,,8,,1,"CR,PA,EC,CO,PE,VE,BR,MX",23,parasite,angiostrongylus,Eosinophilic meningitis,sigmodon hispidus,mammalia,NA,NA,"sarasinula,veronicella",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
apeu,2,NA,2,4,3,,,9,,1,"PE,BR",5,orthobunyavirus,orthobunyavirus,Bunyavirus Group C Disease,"caluromys philander,marmosa demerarae",mammalia,NA,NA,"howardina arborealis,howardina septemstriata,culex aikenii ",mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
araraquara,1,NA,NA,1,0,,,10,,0,BR,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,necromys lasiurus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
aravan,1,NA,NA,1,2,,,11,,1,"KZ,UZ,TM,TJ,KG,PK,AF",23,lyssavirus,lyssavirus,Rabies,myotis blythii,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
khujand,2,NA,NA,2,3,,,1111,same as but better than aravan - asian lyssaviruses -combine,1,"KZ,UZ,TM,TJ,KG,PK,AF",23,lyssavirus,lyssavirus,None reported,myotis mystacinus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
asama,1,NA,NA,1,2,,japan,12,,1,JP,2,hantavirus,hantavirus,None reported,urotrichus talpoides,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
ashriver,1,NA,NA,1,1,,,13,,0,US,2,hantavirus,hantavirus,None reported,sorex cinereus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
australian bat lyssa,2,NA,NA,2,2,,australia,14,,1,AU,2,lyssavirus,lyssavirus,Fatal encephalitis,"saccolaimus flaviventris,pteropus",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
azagny,1,NA,NA,1,0,,,15,,0,CI,2,hantavirus,hantavirus,None reported,crocidura obscurior,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
babesia divergens,1,NA,1,2,2,,,16,,1,"PT,FR,ES,GB,IT,CH,AT,BE,NL,FI",29,parasite,babesia,Babesiosis,cattle,domestic,NA,NA,ixodes ricinus,tick,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
babesia venatorum,2,NA,1,3,2,,,16,same as above babesia divergens,1,"PT,FR,ES,GB,IT,CH,AT,BE,NL,FI",29,parasite,babesia,Babesiosis,"goats,capreolus",domestic,NA,NA,ixodes ricinus,tick,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
babesia meri,1,NA,3,4,2,,,17,,1,"EG,TN,LY,MO,DZ,MA,JO,SA",59,parasite,babesia,None reported,psammomys obesus,mammalia,NA,NA,ornithodoros erraticus,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
babesia microti,5,NA,1,6,2,,,18,,1,"US,CA,MX",8,parasite,babesia,Babesiosis,"peromyscus leucopus,procyon lotor,blarina brevicauda,tamias striatus",mammalia,NA,NA,ixodes scapularis,tick,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
babesia microti european,1,NA,1,2,2,,,19,,1,DE,2,parasite,babesia,Babesiosis,microtus agrestis,mammalia,NA,NA,ixodes ricinus,tick,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
babesia microti japanese,2,NA,1,3,2,,japan,20,,1,JP,2,parasite,babesia,Babesiosis,"apodemus speciosus,apodemus argenteus",mammalia,NA,NA,ixodes ovatus,tick,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
banna,1,NA,10,11,2,,,22,,1,"CN,ID,VN",8,seadornavirus,seadornavirus,None reported,pigs,domestic,NA,NA,"stegomyia albopicta,aedimorphus vexans,anopheles sinensis,culex annulus,culex modestus,culex pipiens,culex tritaeniorhynchus,ochlerotatus dorsalis",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
barmah forest,4,NA,12,16,2,,,23,,1,AU,2,alphavirus ,alphavirus,Barmah Forest virus disease,"macropus,dendrolagus,petrogale,thylogale",mammalia,NA,NA,"ochlerotatus normanensis,ochlerotatus normanensis,ochlerotatus bancroftianus,ochlerotatus vigilax,culex annulirostris,culex molestus,culex cylindricus,coquillettidia linealis,ochlerotatus vigilax,ochlerotatus camptorhynchus,culicoides marksi  ",mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
bartonella bacilliformis,1,NA,4,5,2,,,24,,1,"CO,EC,PE",8,bacteria,bacteria,Bartonellosis,human,human,NA,NA,lutzomyia verrucarum,sandfly,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
bat sars-like coronavirus wiv1,1,1,NA,2,NA,,,25,,1,NA,2,betacoronavirus,betacoronavirus,SARS,rhinolophus sinicus,mammalia,paguma larvata,mammalia,NA,NA,HOST->HUMAN,HOST->HUMAN,no
baylisascaris procyonis,2,NA,NA,2,0,,,26,,1,"US,CA",5,parasite,baylisascaris,Raccoon Roundworm Infection,procyon lotor,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
bayou,2,NA,NA,2,2,,,27,,1,US,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,oryzomys palustris,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
bear canyon,1,NA,NA,1,3,,,28,,1,US,2,arenavirus,arenavirus,None reported,peromyscus californicus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
bermejo,1,NA,NA,1,3,,,29,hotspot_issue,1,AR,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,oligoryzomys chacoensis,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
neembucu,1,NA,NA,1,2,,,29,paraguay hotspot - check similarity and combine,0,PY,2,hantavirus,hantavirus,None reported,oligoryzomys chacoensis,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
bloodland lake,1,NA,NA,1,2,,,31,,1,US,2,hantavirus,hantavirus,None reported,microtus ochrogaster,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
blue river,1,NA,NA,1,2,,,32,,1,US,2,hantavirus,hantavirus,None reported,peromyscus leucopus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
monongahela,1,NA,NA,1,1,,,32,,0,US,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,peromyscus leucopus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
bokeloh bat lyssavirus,2,NA,NA,2,2,,,33,score_limit_value,1,"DE,FR",5,lyssavirus,lyssavirus,None reported,myotis nattereri,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
borna,5,4,NA,9,0,,,34,,0,"US,CA,MX,PE,ES,PT,IT,SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,MM,TH,LA,KH,VN,MY,PH,BN,MN",146,bornaviridae,bornaviridae,None reported,"canis lupus,crocidura,procyon,vulpes",mammalia,"cattle,pigs,sheep,goats",domestic,NA,NA,HOST->HUMAN,HOST->HUMAN,no
borrelia afzelii,4,NA,NA,4,0,,,35,,1,"PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,RU,MN,JP,CN",104,bacteria,borrelia,Lyme disease,"myodes rufocanus,myodes rutilus,apodemus speciosus,lepus timidus",mammalia,NA,NA,ixodes persculatus,tick,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
borrelia burgdorferi,7,NA,5,12,2,,,36,,1,"US,CA,MX,PT,FR,ES,GB,IT",8,bacteria,borrelia,Lyme disease,"peromyscus leucopus,tamias striatus,blarina brevicauda,sorex cinereus,sciurus carolinensis,sciurus griseus",mammalia,NA,NA,"ixodes pacificus,ixodes persculatus,ixodes pacificus ,ixodes persulcaus,ixodes ricinus,ixodes scapularis",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
borrelia crocidurae,1,NA,1,2,2,,,37,,1,"EG,ML,SN,TN",11,bacteria,borrelia,Soft Tick-Borne Relapsing Fever,crocidura,mammalia,NA,NA,"ornithodoros erraticus,ornithodoros sonrai",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
borrelia duttoni,1,2,1,4,2,,,38,,1,"SN,KE,MW,TD,ZA",14,bacteria,borrelia,Soft Tick-Borne Relapsing Fever,mastomys natalensis,human,NA,NA,ornithodoros moubata,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
borrelia garinii,3,4,1,8,2,,europe,39,,1,"PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD",71,bacteria,borrelia,Lyme disease,"sus scrofa,capreolus capreolus,cervus elaphus",mammalia,"cattle,pigs,sheep,goats",domestic,ixodes ricinus,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
borrelia hermsii,3,NA,1,4,2,,,40,,1,"US,CA",5,bacteria,borrelia,Soft Tick-Borne Relapsing Fever,"tamias,tamiasciurus hudsonicus,peromyscus maniculatus",mammalia,NA,NA,ornithodoros hermsi,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
borrelia miyamotoi,13,NA,4,17,0,,,41,,1,"JP,RU",8,bacteria,borrelia,Hard Tick-Borne Relapsing Fever,"peromyscus leucopus,tamias striatus,blarina brevicauda,sorex cinereus,sciurus carolinensis,sciurus griseus,myodes rufocanus,myodes rutilus,apodemus speciosus,lepus timidus,sus scrofa,capreolus capreolus,cervus elaphus",mammalia,NA,NA,"ixodes pacificus,ixodes persculatus,ixodes pacificus ,ixodes persulcaus,ixodes ricinus,ixodes scapularis,ixodes persculatus,ixodes ricinus",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
brucella abortus,8,NA,NA,8,0,,,42,,1,"MX,PE,ES,PT,IT,SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,MM,TH,LA,KH,VN,MY,PH,BN,MN",140,bacteria,brucella,Brucellosis ,"bison bison,bos,syncerus caffer,bison bonasus,cattle,pigs,sheep,goats",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
brucella suis,6,NA,NA,6,0,,,43,,0,"MX,PE,ES,PT,IT,SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,MM,TH,LA,KH,VN,MY,PH,BN,MN",140,bacteria,brucella,Brucellosis,"lepus europaeus,rangifer tarandus,cattle,pigs,sheep,goats",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
brugia malayi,1,NA,9,10,1,,,44,,1,"VN,TH,PH,ID,BN,MY",17,parasite,brugia,Filariasis,human,human,NA,NA,"aedes,anopheles,mansonia,culex ",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
brugia timori,1,NA,3,4,0,,,45,,0,"ID,TL",5,parasite,brugia,Filariasis,human,human,NA,NA,"anopheles barbirostris,culex",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
bunyamwera,27,NA,1,28,1,,,46,,1,"SN,GN,CI,NG,CM,CF,UG,KE,MG,ZA",29,orthobunyavirus,orthobunyavirus,Viral hemorrhagic fever,"thamnomys,rattus,mus,aethomys,thallomys,arvicanthis,dasymys,hybomys,lemniscomys,mylomys,oenomys,pelomys,praomys,hylomyscus,mastomys,zelotomys,leggadina,acomys,colomys,cricetomys,lophuromys,malacomys,saccostomus,uranomys,ochrotomys",mammalia,NA,NA,stegomyia aegypti,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
cache valley,4,NA,8,12,2,,,47,,1,US,2,orthobunyavirus,orthobunyavirus,Bunyamwera Viral fever,"odocoileus hemionus,odocoileus virginianus,cervus elaphus",mammalia,NA,NA,"neomelaniconion circumluteolum,skusea pembaensis,ochlerotatus sollicitan,culex tritaeniorhynchus,culiseta inornata,psorophora confinnis,anopheles grabhamii,anopheles quadrimaculatus,anopheles crucians ",mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
calabazo,1,NA,NA,1,2,,,48,,1,PA,2,hantavirus,hantavirus,None reported,zygodontomys brevicauda,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
campripley,1,NA,NA,1,0,,,49,maine_hotspot?,0,US,2,hantavirus,hantavirus,None reported,blarina brevicauda,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
caraparu,7,NA,3,10,2,,"central america,south america",50,,1,"PA,TT,GF,GY,SR,BR,PE",20,orthobunyavirus,orthobunyavirus,Bunyavirus Group C Disease,"hylaeamys megacephalus,hylaeamys laticeps,proechimys guyannensis,nectomys squamipes,zygodontomys brevicauda,heteromys anomalus,artibeus",mammalia,NA,NA,"culex vomerifer,culex portesi,culex caudelli,culex spissipes,limatus durhamii,wyeomyia",mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
castelo dos sonhos,1,NA,NA,1,1,,,51,,0,BR,2,hantavirus,hantavirus,HCPS,olygoryzomys utiaritensis,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
cercopithecine herpes,1,NA,NA,1,2,,,52,,1,"AF,BD,CN,IN,LA,MM,VN,JP,TH,PK,NP",32,lymphocryptovirus,lymphocryptovirus,None reported,macaca,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
chikungunya,22,NA,2,24,2,,,53,,1,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,ZA,NA,LS,BW,ZW,ZM,AO,MZ,SO,ET,KE,UG,TZ,BI,RW,IN,PK,MM,TH,LA,KH,VN,MY,PH,BN,CN,NC,TL",125,alphavirus ,alphavirus,Chikungunya Fever,"human,pan,pongo,gorilla,papio,mandrillus,callicebus,cercopithecus,macaca,saguinus,trachypithecus,alouatta,mico,aotus,presbytis,procolobus,pithecia,sapajus,ateles,hylobates,nomascus,semnopithecus,callithrix,cercocebus,chlorocebus,lophocebus,chiropotes,colobus,papio,rhinopithecus,saimiri",mammalia,NA,NA,"stegomyia aegypti,stegomyia albopicta",NA,HOST->VECTOR->HUMAN->VECTOR->HUMAN->HUMAN,HOST->VECTOR->HUMAN,yes
choclo,4,NA,NA,4,0,,,54,,0,PA,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,"oligoryzomys fulvescens,sigmodon hispidus",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
clonorchis sinesis,6,NA,13,19,1,,,55,,1,"CN,TH,VN,KR,KP,JP,RU,TW",23,parasite,clonorchis,Clonorichiasis,"bithynia,parafossarulus,melanoides tuberculata,semisulcospira libertina,assiminea lutea,tarebia granifera",invert,NA,NA,"cyprinus carpio,ctenopharyngodon idellus,carassius carassius,pseudorasbora parva,abbottina rivularis,hemiculter,opsariichthys,rhodeus,sarcocheilichthys,zacco platypus,nipponocypris temminckii,hypomesus olidus",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
colorado tick,13,NA,1,14,3,,,56,,1,"US,CA",5,coltivirus,coltivirus,Colorado Tick fever,"erethizon,coendou,chaetomys,ammospermophilus,spermophilus,cynomys,marmota,tamias,sciurotamias",mammalia,NA,NA,dermacentor andersoni,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
cowpox,4,NA,NA,4,1,,europe,57,,1,"PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI",92,poxviridae,poxviridae,cowpox,"microtus,apodemus,myodes",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
