Host,HostGenus,HostFamily,HostNCBIResolved
Amphiprion nigripes,Amphiprion,Pomacentridae,TRUE
Bison bison,Bison,Bovidae,TRUE
Bos taurus,Bos,Bovidae,TRUE
Canis lupus,Canis,Canidae,TRUE
Civettictis civetta,Civettictis,Viverridae,TRUE
Equus caballus,Equus,Equidae,TRUE
Eulemur macaco,Eulemur,Lemuridae,TRUE
Eulemur rufus,Eulemur,Lemuridae,TRUE
Gallus gallus,Gallus,Phasianidae,TRUE
Gorilla beringei,Gorilla,Hominidae,TRUE
Homo sapiens,Homo,Hominidae,TRUE
Mirounga angustirostris,Mirounga,Phocidae,TRUE
Oreochromis niloticus,Oreochromis,Cichlidae,TRUE
Papio ursinus,Papio,Cercopithecidae,TRUE
Phoca vitulina,Phoca,Phocidae,TRUE
Phocarctos hookeri,Phocarctos,Otariidae,TRUE
Pteroglossus viridis,Pteroglossus,Ramphastidae,TRUE
Saimiri sciureus,Saimiri,Cebidae,TRUE
Sus scrofa,Sus,Suidae,TRUE
Ursus americanus,Ursus,Ursidae,TRUE
Zalophus californianus,Zalophus,Otariidae,TRUE
Acanthis flammea,Acanthis,Fringillidae,TRUE
Acanthophis antarcticus,Acanthophis,Elapidae,TRUE
Alouatta pigra,Alouatta,Atelidae,TRUE
Amazona aestiva,Amazona,Psittacidae,TRUE
Amphibolurus muricatus,Amphibolurus,Agamidae,TRUE
Anser anser,Anser,Anatidae,TRUE
Antaresia childreni,Antaresia,Pythonidae,TRUE
Antaresia maculosa,Antaresia,Pythonidae,TRUE
Aotus trivirgatus,Aotus,Aotidae,TRUE
Arapaima gigas,Arapaima,Osteoglossidae,TRUE
Ardea intermedia,Ardea,Ardeidae,TRUE
Austrelaps superbus,Austrelaps,Elapidae,TRUE
Bellatorias frerei,Bellatorias,Scincidae,TRUE
Bitis nasicornis,Bitis,Viperidae,TRUE
Boa constrictor,Boa,Boidae,TRUE
Boaedon olivaceus,Boaedon,Lamprophiidae,TRUE
Boiga irregularis,Boiga,Colubridae,TRUE
Bothriechis schlegelii,Bothriechis,Viperidae,TRUE
Cacatua galerita,Cacatua,Cacatuidae,TRUE
Callorhinus ursinus,Callorhinus,Otariidae,TRUE
Cavia porcellus,Cavia,Caviidae,TRUE
Chamaeleo calyptratus,Chamaeleo,Chamaeleonidae,TRUE
Chelodina oblonga,Chelodina,Chelidae,TRUE
Chlamydosaurus kingii,Chlamydosaurus,Agamidae,TRUE
Chloris chloris,Chloris,Fringillidae,TRUE
Corvus brachyrhynchos,Corvus,Corvidae,TRUE
Crotalus willardi,Crotalus,Viperidae,TRUE
Cyclura cornuta,Cyclura,Iguanidae,TRUE
Cyclura cychlura,Cyclura,Iguanidae,TRUE
Cynoscion nebulosus,Cynoscion,Sciaenidae,TRUE
Dendrelaphis punctulatus,Dendrelaphis,Colubridae,TRUE
Eos cyanogenia,Eos,Psittaculidae,TRUE
Erinaceus europaeus,Erinaceus,Erinaceidae,TRUE
Eublepharis macularius,Eublepharis,Eublepharidae,TRUE
Eulamprus heatwolei,Eulamprus,Scincidae,TRUE
Euprepiophis mandarinus,Euprepiophis,Colubridae,TRUE
Falco tinnunculus,Falco,Falconidae,TRUE
Felis catus,Felis,Felidae,TRUE
Genetta genetta,Genetta,Viverridae,TRUE
Gorilla gorilla,Gorilla,Hominidae,TRUE
Herpestes ichneumon,Herpestes,Herpestidae,TRUE
Heterodon nasicus,Heterodon,Dipsadidae,TRUE
Hoplocephalus bungaroides,Hoplocephalus,Elapidae,TRUE
Iguana iguana,Iguana,Iguanidae,TRUE
Lampropeltis alterna,Lampropeltis,Colubridae,TRUE
Lampropeltis triangulum,Lampropeltis,Colubridae,TRUE
Larus occidentalis,Larus,Laridae,TRUE
Lialis burtonis,Lialis,Pygopodidae,TRUE
Lichanura trivirgata,Lichanura,Boidae,TRUE
Lynx lynx,Lynx,Felidae,TRUE
Macaca mulatta,Macaca,Cercopithecidae,TRUE
Macropus fuliginosus,Macropus,Macropodidae,TRUE
Meleagris gallopavo,Meleagris,Phasianidae,TRUE
Meles meles,Meles,Mustelidae,TRUE
Morelia spilota,Morelia,Pythonidae,TRUE
Mus musculus,Mus,Muridae,TRUE
Notechis ater,Notechis,Elapidae,TRUE
Notechis scutatus,Notechis,Elapidae,TRUE
Nymphicus hollandicus,Nymphicus,Cacatuidae,TRUE
Odocoileus virginianus,Odocoileus,Cervidae,TRUE
Oryctolagus cuniculus,Oryctolagus,Leporidae,TRUE
Ovis aries,Ovis,Bovidae,TRUE
Oxyuranus microlepidotus,Oxyuranus,Elapidae,TRUE
Oxyuranus scutellatus,Oxyuranus,Elapidae,TRUE
Pantherophis guttatus,Pantherophis,Colubridae,TRUE
Passer domesticus,Passer,Passeridae,TRUE
Perca fluviatilis,Perca,Percidae,TRUE
Phelsuma madagascariensis,Phelsuma,Gekkonidae,TRUE
Phocoena phocoena,Phocoena,Phocoenidae,TRUE
Physignathus cocincinus,Physignathus,Agamidae,TRUE
Pogona vitticeps,Pogona,Agamidae,TRUE
Procyon lotor,Procyon,Procyonidae,TRUE
Pseudechis porphyriacus,Pseudechis,Elapidae,TRUE
Pseudonaja textilis,Pseudonaja,Elapidae,TRUE
Pyrrhula pyrrhula,Pyrrhula,Fringillidae,TRUE
Python molurus,Python,Pythonidae,TRUE
Python regius,Python,Pythonidae,TRUE
Rupicapra rupicapra,Rupicapra,Bovidae,TRUE
Saguinus geoffroyi,Saguinus,Cebidae,TRUE
Scomberomorus cavalla,Scomberomorus,Scombridae,TRUE
Spinus spinus,Spinus,Fringillidae,TRUE
Strix aluco,Strix,Strigidae,TRUE
Testudo hermanni,Testudo,Testudinidae,TRUE
Tiliqua nigrolutea,Tiliqua,Scincidae,TRUE
Tiliqua rugosa,Tiliqua,Scincidae,TRUE
Tiliqua scincoides,Tiliqua,Scincidae,TRUE
Trichoglossus haematodus,Trichoglossus,Psittaculidae,TRUE
Trioceros ellioti,Trioceros,Chamaeleonidae,TRUE
Tropidophorus grayi,Tropidophorus,Scincidae,TRUE
Varanus indicus,Varanus,Varanidae,TRUE
Varanus mertensi,Varanus,Varanidae,TRUE
Varanus varius,Varanus,Varanidae,TRUE
Vulpes vulpes,Vulpes,Canidae,TRUE
Macaca fascicularis,Macaca,Cercopithecidae,TRUE
Pan troglodytes,Pan,Hominidae,TRUE
Anas platyrhynchos,Anas,Anatidae,TRUE
Cyprinus carpio,Cyprinus,Cyprinidae,TRUE
Enhydra lutris,Enhydra,Mustelidae,TRUE
Ictalurus punctatus,Ictalurus,Ictaluridae,TRUE
Misgurnus anguillicaudatus,Misgurnus,Cobitidae,TRUE
Neomonachus schauinslandi,Neomonachus,Phocidae,TRUE
Pampus argenteus,Pampus,Stromateidae,TRUE
Siniperca chuatsi,Siniperca,Sinipercidae,TRUE
Tachysurus fulvidraco,Tachysurus,Bagridae,TRUE
Apodemus chevrieri,Apodemus,Muridae,TRUE
Cerradomys subflavus,Cerradomys,Cricetidae,TRUE
Cynomys ludovicianus,Cynomys,Sciuridae,TRUE
Eothenomys miletus,Eothenomys,Cricetidae,TRUE
Lasiopodomys brandtii,Lasiopodomys,Cricetidae,TRUE
Lynx canadensis,Lynx,Felidae,TRUE
Marmota baibacina,Marmota,Sciuridae,TRUE
Marmota caudata,Marmota,Sciuridae,TRUE
Marmota himalayana,Marmota,Sciuridae,TRUE
Marmota sibirica,Marmota,Sciuridae,TRUE
Meriones meridianus,Meriones,Muridae,TRUE
Meriones unguiculatus,Meriones,Muridae,TRUE
Microtus arvalis,Microtus,Cricetidae,TRUE
Mustela eversmannii,Mustela,Mustelidae,TRUE
Mustela nigripes,Mustela,Mustelidae,TRUE
Necromys lasiurus,Necromys,Cricetidae,TRUE
Neodon fuscus,Neodon,Cricetidae,TRUE
Ochotona dauurica,Ochotona,Ochotonidae,TRUE
Ochotona pallasi,Ochotona,Ochotonidae,TRUE
Odocoileus hemionus,Odocoileus,Cervidae,TRUE
Onychomys leucogaster,Onychomys,Cricetidae,TRUE
Orientallactaga sibirica,Orientallactaga,Dipodidae,TRUE
Pseudois nayaur,Pseudois,Bovidae,TRUE
Puma concolor,Puma,Felidae,TRUE
Rattus norvegicus,Rattus,Muridae,TRUE
Rattus rattus,Rattus,Muridae,TRUE
Rattus tanezumi,Rattus,Muridae,TRUE
Rhombomys opimus,Rhombomys,Muridae,TRUE
Spermophilus alashanicus,Spermophilus,Sciuridae,TRUE
Spermophilus dauricus,Spermophilus,Sciuridae,TRUE
Urocitellus parryii,Urocitellus,Sciuridae,TRUE
Urocyon cinereoargenteus,Urocyon,Canidae,TRUE
