ID,Pathogen,PathogenTaxID,PHEIC risk,Disease_name,HostTaxID,Host_clean,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,MainSource
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),229073,Amphiprion nigripes,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,ACTINOPTERYGII,POMACENTRIDAE,NOT ASSIGNED,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9901,Bison bison,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9913,Bos taurus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9612,Canis lupus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,CANIDAE,CARNIVORA,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),94186,Civettictis civetta,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,VIVERRIDAE,CARNIVORA,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9796,Equus caballus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,EQUIDAE,PERISSODACTYLA,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),30602,Eulemur macaco,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,LEMURIDAE,PRIMATES,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),859983,Eulemur rufus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,LEMURIDAE,PRIMATES,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9031,Gallus gallus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,AVES,PHASIANIDAE,GALLIFORMES,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),499232,Gorilla beringei,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,HOMINIDAE,PRIMATES,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9606,Homo sapiens,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,NA,NA,NA,NA,PCR/Sequencing; Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9716,Mirounga angustirostris,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,PHOCIDAE,CARNIVORA,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),8128,Oreochromis niloticus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,ACTINOPTERYGII,CICHLIDAE,CICHLIFORMES,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),36229,Papio ursinus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,CERCOPITHECIDAE,PRIMATES,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9720,Phoca vitulina,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,PHOCIDAE,CARNIVORA,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),34888,Phocarctos hookeri,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,OTARIIDAE,CARNIVORA,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),285011,Pteroglossus viridis,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,AVES,RAMPHASTIDAE,PICIFORMES,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9521,Saimiri sciureus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,CEBIDAE,PRIMATES,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9823,Sus scrofa,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,SUIDAE,ARTIODACTYLA,PCR/Sequencing,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9643,Ursus americanus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,URSIDAE,CARNIVORA,Isolation/Observation,CLOVER
B1,klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9704,Zalophus californianus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,CHORDATA,MAMMALIA,OTARIIDAE,CARNIVORA,PCR/Sequencing; Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,54769,Acanthis flammea,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,AVES,FRINGILLIDAE,PASSERIFORMES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,8605,Acanthophis antarcticus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,ELAPIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,182253,Alouatta pigra,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,ATELIDAE,PRIMATES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,12930,Amazona aestiva,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,AVES,PSITTACIDAE,PSITTACIFORMES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,116113,Amphibolurus muricatus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,AGAMIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,8843,Anser anser,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,AVES,ANATIDAE,ANSERIFORMES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,51888,Antaresia childreni,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,PYTHONIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,51891,Antaresia maculosa,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,PYTHONIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9505,Aotus trivirgatus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,AOTIDAE,PRIMATES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,113544,Arapaima gigas,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,ACTINOPTERYGII,OSTEOGLOSSIDAE,OSTEOGLOSSIFORMES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,585464,Ardea intermedia,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,AVES,ARDEIDAE,PELECANIFORMES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,29156,Austrelaps superbus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,ELAPIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,96718,Bellatorias frerei,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,SCINCIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,8695,Bitis nasicornis,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,VIPERIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,8574,Boa constrictor,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,BOIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,292868,Boaedon olivaceus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,LAMPROPHIIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,92519,Boiga irregularis,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,COLUBRIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9913,Bos taurus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,PCR/Sequencing; Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,44725,Bothriechis schlegelii,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,VIPERIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,141274,Cacatua galerita,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,AVES,CACATUIDAE,PSITTACIFORMES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,34884,Callorhinus ursinus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,OTARIIDAE,CARNIVORA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9612,Canis lupus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,CANIDAE,CARNIVORA,PCR/Sequencing,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,10141,Cavia porcellus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,CAVIIDAE,RODENTIA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,179908,Chamaeleo calyptratus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,CHAMAELEONIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,44492,Chelodina oblonga,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,CHELIDAE,TESTUDINES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,103699,Chlamydosaurus kingii,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,AGAMIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,37601,Chloris chloris,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,AVES,FRINGILLIDAE,PASSERIFORMES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,85066,Corvus brachyrhynchos,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,AVES,CORVIDAE,PASSERIFORMES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,125876,Crotalus willardi,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,VIPERIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,57098,Cyclura cornuta,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,IGUANIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,118679,Cyclura cychlura,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,IGUANIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,13029,Cynoscion nebulosus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,ACTINOPTERYGII,SCIAENIDAE,PERCIFORMES,PCR/Sequencing,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,1458430,Dendrelaphis punctulatus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,COLUBRIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,176064,Eos cyanogenia,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,AVES,PSITTACIDAE,PSITTACIFORMES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9796,Equus caballus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,EQUIDAE,PERISSODACTYLA,PCR/Sequencing; Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9365,Erinaceus europaeus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,ERINACEIDAE,EULIPOTYPHLA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,481883,Eublepharis macularius,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,EUBLEPHARIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,204898,Eulamprus heatwolei,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,SCINCIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,74365,Euprepiophis mandarinus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,COLUBRIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,100819,Falco tinnunculus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,AVES,FALCONIDAE,FALCONIFORMES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9685,Felis catus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,FELIDAE,CARNIVORA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9031,Gallus gallus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,AVES,PHASIANIDAE,GALLIFORMES,PCR/Sequencing; Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,94190,Genetta genetta,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,VIVERRIDAE,CARNIVORA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9593,Gorilla gorilla,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,HOMINIDAE,PRIMATES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9700,Herpestes ichneumon,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,HERPESTIDAE,CARNIVORA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,121332,Heterodon nasicus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,DIPSADIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9606,Homo sapiens,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,NA,NA,NA,NA,PCR/Sequencing; Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,83403,Hoplocephalus bungaroides,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,ELAPIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,8517,Iguana iguana,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,IGUANIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,163490,Lampropeltis alterna,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,COLUBRIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,140017,Lampropeltis triangulum,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,COLUBRIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,126713,Larus occidentalis,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,AVES,LARIDAE,CHARADRIIFORMES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,95110,Lialis burtonis,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,PYGOPODIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,51879,Lichanura trivirgata,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,REPTILIA,BOIDAE,SQUAMATA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,13125,Lynx lynx,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,FELIDAE,CARNIVORA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9544,Macaca mulatta,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,CERCOPITHECIDAE,PRIMATES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9316,Macropus fuliginosus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,MACROPODIDAE,DIPROTODONTIA,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9103,Meleagris gallopavo,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,AVES,PHASIANIDAE,GALLIFORMES,Isolation/Observation,CLOVER
B2,salmonella enterica,28901,High,Non-typhoidal salmonellosis,9662,Meles meles,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,CHORDATA,MAMMALIA,MUSTELIDAE,CARNIVORA,Isolation/Observation,CLOVER
