Family,Previous Name,MSL39 Viral Species Name
Adenoviridae,Adenovirus B,Mastadenovirus blackbeardi
Adenoviridae,Human mastadenovirus E,Mastadenovirus exoticum
Arenaviridae,Cardamones variant Wenzhou virus (CVWV),Mammarenavirus cardamones
Arenaviridae,Chapare virus,Mammarenavirus chapareense
Arenaviridae,Junin virus,Mammarenavirus juninense
Arenaviridae,Lassa Fever virus,Mammarenavirus lassaense
Arenaviridae,Lujo virus,Mammarenavirus lujoense
Arenaviridae,Lymphocytic choriomeningitis virus,Mammarenavirus choriomeningitis
Arenaviridae,Machupo virus,Mammarenavirus machupoense
Arenaviridae,Venezuelan Hemorrhagic Fever virus,Mammarenavirus guanaritoense
Arteriviridae,Simian hemorrhagic fever virus,Deltaarterivirus hemfev
Astroviridae,Mamastrovirus 10 - mink,Mamastrovirus mustelae
Astroviridae,Mamastrovirus 13 - ovine,Mamastrovirus ovis
Astroviridae,Mamastrovirus 9,Mamastrovirus virginiaense
Bornaviridae,Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense
Bornaviridae,Variegated squirrel bornavirus 1 (VSBV-1),Orthobornavirus sciuri
Coronaviridae,Alpha recombinant CoV,Recombinant alphacoronavirus
Coronaviridae,Canine coronavirus-human pneumonia-2018 (CCoV-HuPn-2018),Alphacoronavirus suis (CCoV-HuPn-2018)
Coronaviridae,Human coronavirus NL63 (Bat),Alphacoronavirus amsterdamense
Coronaviridae,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus
Coronaviridae,Porcine deltacoronavirus PDCoV,Deltacoronavirus (PDCoV)
Coronaviridae,Porcine hemagglutinating encephalomyelitis virus,Betacoronavirus gravedinis (PHEV)
Coronaviridae,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus
Coronaviridae,Swine acute diarhea syndrome coronavirus (SADS-CoV),Alphacoronavirus porci
Filoviridae,Bombali virus,Orthoebolavirus bombaliense
Filoviridae,Ebola virus,Orthoebolavirus zairense
Filoviridae,Huangjiao virus,Thamnovirus thamnaconi
Filoviridae,Lloviu virus,Cuevavirus lloviuense
Filoviridae,Marburg virus,Orthomarburgvirus marburgense
Filoviridae,Mengla virus,Dianlovirus menglaense
Filoviridae,Reston virus,Orthoebolavirus restonense
Filoviridae,Sudan ebolavirus,Orthoebolavirus sudanense
Filoviridae,Xilang virus,Striavirus antennarii
Flaviviridae,Dengue virus,Orthoflavivirus denguei
Flaviviridae,Ilheus virus,Orthoflavivirus ilheusense
Flaviviridae,Japanese encephalitis virus,Orthoflavivirus japonicum
Flaviviridae,Jingmen tick virus,Jingmenvirus
Flaviviridae,Rocio virus,Orthoflavivirus rocio
Flaviviridae,Spondweni virus,Orthoflavivirus spondweni
Flaviviridae,Tick-borne encephalitis virus,Orthoflavivirus encephalitidis
Flaviviridae,Usutu virus,Orthoflavivirus usutuense
Flaviviridae,Wesselsbron virus,Orthoflavivirus wesselsbronense
Flaviviridae,West Nile virus,Orthoflavivirus nilense
Flaviviridae,Yellow fever virus,Orthoflavivirus flavi
Flaviviridae,Zika virus,Orthoflavivirus zikaense
Hantaviridae,Hantaan orthohantavirus,Orthohantavirus hantanense
Hantaviridae,Hantaan virus,Orthohantavirus hantanense
Hantaviridae,Sinnombre virus,Orthohantavirus sinnombreense
Hepadnaviridae,Domestic Cat Orthohepadnavirus,Orthohepadnavirus felisdomestici
Hepadnaviridae,Hepatitis B virus genotype C,Orthohepadnavirus hominoidei genotype C
Hepadnaviridae,Pomona bat Orthohepadnavirus,Orthohepadnavirus pomi
Hepeviridae,Hepatitis E virus,Paslahepevirus balayani
Nairoviridae,Crimean-Congo hemorrhagic fever virus (CCHF),Orthonairovirus haemorhagiae
Orthomyxoviridae,Influenza A,Alphainfluenzavirus influenzae
Orthomyxoviridae,Influenza B,Betainfluenzavirus influenzae
Paramyxoviridae,Hendra virus,Henipavirus hendraense
Paramyxoviridae,Mapuera virus,Orthorubulavirus mapueraense
Paramyxoviridae,Menangle virus,Pararubulavirus menangleense
Paramyxoviridae,Nipah virus,Henipavirus nipahense
Paramyxoviridae,Sosuga virus,Pararubulavirus sosugaense
Parvoviridae,Carnivore amdop arvoviruses (AMDV),Amdoparvovirus carnivoran
Parvoviridae,Carnivore protoparvoviruses,Protoparvovirus carnivoran
Parvoviridae,Primate erythroparvoviruses (SPV),Erythroparvovirus primate
Peribunyaviridae,Oropouche virus,Orthobunyavirus oropoucheense
Phenuiviridae,Phlebovirus Sandfly fever virus,Phlebovirus napoliense
Phenuiviridae,Phlebovirus Sandfly fever virus,Phlebovirus siciliaense
Phenuiviridae,Phlebovirus Sandfly fever virus,Phlebovirus toscanaense
Phenuiviridae,Rift Valley Fever virus,Phlebovirus riftense
Phenuiviridae,SFTS virus,Bandavirus dabieense
Picobirnaviridae,Human picobirnavirus,Orthopicobirnavirus hominis
Picornaviridae,Enterovirus A71 (EV-A71),Enterovirus alphacoxsackie 71
Picornaviridae,Enterovirus D68 (EV-D68),Enterovirus deconjucti 68
Picornaviridae,Polio virus,Enterovirus coxsackiepol
Pneumoviridae,Avian metapneumovirus,Metapneumovirus avis
Pneumoviridae,Human metapneumovirus,Metapneumovirus hominis
Poxviridae,Alaskapox virus,Orthopoxvirus alaskapox
Poxviridae,Cowpox virus,Orthopoxvirus cowpox
Poxviridae,Monkeypox virus,Orthopoxvirus monkeypox
Poxviridae,Vaccinia virus,Orthopoxvirus vaccinia
Poxviridae,Variola virus,Orthopoxvirus variola
Spinareoviridae,Mammalian orthoreovirus,Orthoreovirus mammalis
Retroviridae,GALV virus,Gammaretrovirus gibleu
Retroviridae,Human immunodeficiency virus 1 (HIV-1),Lentivirus humimdef1
Retroviridae,Human immunodeficiency virus 2 (HIV-2),Lentivirus humimdef2
Retroviridae,Human T-lymphotropic virus 3 (HTLV-3),Deltaretrovirus priTlym3
Retroviridae,Simian immunodeficiency virus,Lentivirus simimdef
Rhabdoviridae,Genus Ledantevirus,Genus Ledantevirus
Rhabdoviridae,Genus Tibrovirus,Genus Tibrovirus
Rhabdoviridae,Genus Vesiculovirus,Genus Vesiculovirus
Togaviridae,Chikungunya virus,Alphavirus chikungunya
Togaviridae,Eastern equine encephalitis virus,Alphavirus eastern
Togaviridae,Madariaga virus,Alphavirus madariaga
Togaviridae,Mayaro virus,Alphavirus mayaro
Togaviridae,Onyong-nyong virus,Alphavirus onyong
Togaviridae,Ross River virus,Alphavirus rossriver
Togaviridae,Venezuelan equine encephalitis virus,Alphavirus venezuelan